label,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,underclassman,athleticism_score,production_score,final_score,imp_grade,posi_CB,posi_DB,posi_DC,posi_DE,posi_DL,posi_DT,posi_EDGE,posi_FB,posi_FS,posi_G,posi_IB,posi_K,posi_LB,posi_LS,posi_NT,posi_OB,posi_OC,posi_OG,posi_OH,posi_OL,posi_OT,posi_P,posi_QB,posi_RB,posi_S,posi_SAF,posi_SS,posi_ST,posi_T,posi_TE,posi_WO,posi_WR,conf_Group of 5,conf_Power 5
ARI_Monti Ossenfort,74.1907894736842,241.8421052631579,32.50657894736842,78.42105263157895,11.473684210526315,1.2689473684210526,3.6836842105263155,27.289473684210527,101.26315789473684,2.34,1.8715789473684212,4.7105263157894735,0.05263157894736842,77.99947368421053,71.67894736842106,74.67842105263158,6.036315789473684,0.21052631578947367,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,1.0
ARI_Rod Graves,74.56923076923077,255.01538461538462,32.66346153846154,16.753846153846155,15.830769230769231,1.3296923076923077,3.8181538461538462,26.053846153846155,88.3076923076923,4.625692307692308,2.9866153846153844,0.1456923076923077,0.0,67.05553846153846,67.24815384615385,69.9416923076923,6.045076923076923,0.03076923076923077,0.07692307692307693,0.0,0.046153846153846156,0.16923076923076924,0.015384615384615385,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.09230769230769231,0.0,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,0.12307692307692308,0.015384615384615385,0.0,0.06153846153846154,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.15384615384615385,0.0,0.09230769230769231,0.7384615384615385
ARI_Steve Keim,73.77715384615385,242.96923076923076,32.32115384615385,77.43661538461538,12.276923076923078,1.1918461538461538,3.451692307692308,22.43076923076923,80.53846153846153,3.9418461538461544,2.387846153846154,1.463846153846154,0.0,71.60261538461539,71.37046153846154,72.57476923076922,6.035846153846154,0.07692307692307693,0.06153846153846154,0.0,0.07692307692307693,0.07692307692307693,0.046153846153846156,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.046153846153846156,0.1076923076923077,0.03076923076923077,0.0,0.0,0.0,0.046153846153846156,0.07692307692307693,0.13846153846153847,0.0,0.09230769230769231,0.7692307692307693
ATL_Dan Reeves,72.28125,233.75,31.0,0.0,17.0,1.2675,3.585,16.5,86.5,3.775,2.2225,0.0,0.0,43.44,47.885,46.8625,5.925000000000001,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0
ATL_Rich McKay,73.67241379310344,240.68965517241378,32.72844827586207,0.0,12.862068965517242,1.3144827586206895,3.7586206896551726,26.948275862068964,91.37931034482759,5.809655172413793,3.4727586206896555,0.16551724137931034,0.0,70.72793103448276,64.47862068965517,69.28,6.00103448275862,0.0,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.06896551724137931,0.10344827586206896,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.0,0.10344827586206896,0.6896551724137931
ATL_Terry Fontenot,74.36607142857143,250.25,31.540178571428573,75.77678571428571,6.785714285714286,0.7032142857142858,2.0335714285714284,14.964285714285714,50.107142857142854,0.8028571428571428,0.8278571428571428,4.748214285714285,0.07142857142857142,73.105,71.71214285714287,73.38857142857144,6.093928571428571,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.10714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.0,0.07142857142857142,0.8928571428571429
ATL_Thomas Dimitroff,73.63948717948718,242.62820512820514,32.461666666666666,55.920064102564105,16.58974358974359,1.3816666666666666,3.9248717948717946,27.30128205128205,94.01282051282051,4.637948717948718,2.93525641025641,0.3698717948717949,0.0,65.94769230769231,68.24461538461539,69.22461538461539,6.053076923076923,0.05128205128205128,0.1794871794871795,0.0,0.038461538461538464,0.16666666666666666,0.01282051282051282,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.02564102564102564,0.08974358974358974,0.02564102564102564,0.0,0.0,0.0,0.01282051282051282,0.038461538461538464,0.0641025641025641,0.0,0.11538461538461539,0.7692307692307693
BAL_Eric DeCosta,74.11057692307692,243.71153846153845,32.20192307692308,74.42788461538461,7.788461538461538,0.8309615384615385,2.4098076923076923,17.653846153846153,55.23076923076923,1.683846153846154,1.298846153846154,4.078653846153847,0.07692307692307693,72.01634615384616,71.96153846153847,72.69,6.0725,0.15384615384615385,0.0,0.0,0.11538461538461539,0.0,0.07692307692307693,0.0,0.019230769230769232,0.0,0.07692307692307693,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.057692307692307696,0.057692307692307696,0.1346153846153846,0.019230769230769232,0.11538461538461539,0.8846153846153846
BAL_Ozzie Newsome,74.35991869918699,250.21951219512195,32.64028455284553,41.435121951219514,14.34959349593496,1.3802439024390245,3.9713821138211385,27.235772357723576,96.91056910569105,5.432113821138211,3.3601626016260164,0.11056910569105692,0.0,69.00463414634146,67.00008130081301,69.62471544715447,5.998536585365854,0.024390243902439025,0.11382113821138211,0.0,0.06504065040650407,0.11382113821138211,0.024390243902439025,0.0,0.016260162601626018,0.008130081300813009,0.016260162601626018,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.008130081300813009,0.008130081300813009,0.08943089430894309,0.008130081300813009,0.0,0.056910569105691054,0.08130081300813008,0.008130081300813009,0.0,0.008130081300813009,0.0,0.04065040650406504,0.08130081300813008,0.14634146341463414,0.0,0.11382113821138211,0.7398373983739838
BUF_Brandon Beane,73.9409649122807,240.50877192982455,32.122894736842106,77.36868421052633,8.789473684210526,1.1973684210526316,3.492280701754386,23.75438596491228,81.01754385964912,2.68140350877193,2.1178947368421053,3.0715789473684207,0.07017543859649122,69.1001754385965,69.21,70.25087719298246,6.025263157894737,0.10526315789473684,0.017543859649122806,0.0,0.08771929824561403,0.0,0.05263157894736842,0.0,0.0,0.0,0.07017543859649122,0.0,0.017543859649122806,0.14035087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.07017543859649122,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.12280701754385964,0.017543859649122806,0.17543859649122806,0.7192982456140351
