ID,Last_Season,predicted_value,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Hinckley Ropati - 122076,2024,16.71,13.66,15.8,16.98,2,0.292782569,0.825692238,0.684975034,0.169768498,0.852019973,0.971805366,0.415871421,0.396424168,0.182490752,0.354970495,0.815705856,0.57512483,0.191556968,0.728551975,0.98816568,0.565327911,0.565380997,0.658513641,0.257376305,0.805265547,0.752610077,0.26191557,0.887880163,0.801547565,0.307066599,0.565380997,0.658513641,1,69.475,203.8,31.075,75.1,20,1.534,4.556,37.6,124.6,7.026,4.234,4.488
Jordan McDonald - 158449,2024,16.64,13.4,15.65,17.47,1,0.295506128,0.684975034,0.983658647,0.738992283,0.989105765,0.894952251,0.699146158,0.511097411,0.627003699,0.253744893,0.541534271,0.952337721,0.532909669,0.964593736,0.786982249,0.499237417,0.565380997,0.658513641,0.505220154,0.802088062,0.986836133,0.843849296,0.991829324,0.927628584,0.842399593,0.565380997,0.658513641,1,71.35,218,31.175,75.775,19,1.548,4.554,35.2,121.4,7.092,4.236,4.496
Dawson Pendergrass - 174637,2024,16.63,12.03,16.33,19.32,2,0.662278711,0.863368134,0.257830232,0.729913754,0.739900136,0.688949523,0.871923656,0.82244143,0.816276202,0.613708579,0.906037222,0.266908761,0.601906491,0.569223786,0.60537096,0.762074225,0.789275635,0.694261524,0.729913754,0.763504312,0.315932819,0.79210168,0.833408988,0.721893491,0.917641078,0.789275635,0.694261524,1,69.275,205,29.9,73.375,15.8,1.55,4.506,37.4,122.8,7.038,4.202,4.49
Jadarian Price - 156985,2024,16.62,12.36,15.67,19.43,2,0.55197458,0.832047208,0.860190649,0.798910576,0.979119383,0.640745794,0.517830236,0.393958076,0.29161529,0.613708579,0.87290059,0.743985474,0.625056741,0.938719927,0.841602185,0.588713777,0.565380997,0.658513641,0.431684067,0.737176577,0.891511575,0.856105311,0.983658647,0.163859809,0.453482461,0.565380997,0.658513641,1,70.375,205,30.7,74.55,18.6,1.54,4.56,34.1,121.2,7.08,4.288,4.454
Nate Noel - 122249,2024,16.3,11.56,16.07,21.09,5,0.837040399,0.695869269,0.70857921,0.376305039,0.613708579,0.354251933,0.737317931,0.601726264,0.665228113,0.861098502,0.802088062,0.805719473,0.675896505,0.823876532,0.724624488,0.775800712,0.869238006,0.744120414,0.739900136,0.303222878,0.425783023,0.330004539,0.367680436,0.243969049,0.221657346,0.869238006,0.744120414,0,71.076,208.4,30.9,74.776,16.6,1.566,4.546,33.5,119.4,7.064,4.282,4.534
Micah Bernard - 100583,2024,16.18,7.48,14.74,18.1,3,0.802995915,0.955969133,0.823876532,0.242850658,0.862006355,0.749886312,0.222501256,0.040073983,0.35080148,0.858374943,0.975487971,0.923740354,0.299591466,0.88697231,0.796540737,0.889679715,0.893697084,0.857008467,0.766681798,0.907399001,0.699954607,0.346799818,0.697684975,0.558488848,0.028469751,0.893697084,0.857008467,1,71.176,208.4,30.925,74.25,20.2,1.528,4.482,35.8,122.8,7.14,4.258,4.522
Gemari Sands - 169923,2024,15.96,8.83,13.85,17.06,1,0.076259646,0.941443486,0.501134816,0.837040399,0.512029051,0.98317417,0.772476143,0.511097411,0.627003699,0.071266455,0.860190649,0.354062642,0.632773491,0.362687245,0.958579882,0.580071174,0.565380997,0.658513641,0.15660463,0.964593736,0.689060372,0.891057649,0.69450749,0.988620847,0.88815455,0.565380997,0.658513641,0,71.051,207.8,30.7,75.201,19.4,1.542,4.488,35.6,121.6,7.02,4.256,4.496
Jordan Waters - 97754,2024,15.22,10.98,14.55,16.97,4,0.671811167,0.710394916,0.550158874,0.694053563,0.898320472,0.802637563,0.650929181,0.50431566,0.599876695,0.746255107,0.740354063,0.55969133,0.79845665,0.898320472,0.841602185,0.76359939,0.565380997,0.658513641,0.30549251,0.552428507,0.647753064,0.441216523,0.817521562,0.601729631,0.186578546,0.565380997,0.658513641,1,69.925,215.2,30.3,73.15,18.4,1.546,4.54,34.5,119,7.016,4.236,4.494
Demond Claiborne - 157523,2024,15.22,4.02,12.19,16.31,2,0.930095325,0.549704948,0.491148434,0.526100772,0.583749433,0.683037744,0.91260673,0.856350185,0.882244143,0.91783931,0.502496596,0.474353155,0.431684067,0.511575125,0.728720983,0.893746823,0.841015992,0.85042333,0.908306854,0.60463005,0.515660463,0.638220608,0.645937358,0.520710059,0.839857651,0.841015992,0.85042333,1,70.4,213,31.05,75.25,18,1.536,4.538,35.8,122.8,7.054,4.272,4.54
Kentrel Bullock - 124129,2024,15.08,13.51,15.48,19.02,2,0.747616886,0.975941897,0.923286428,0.606445756,0.866999546,0.567075944,0.418884982,0.324907522,0.459926017,0.738538357,0.945074898,0.879255561,0.421243759,0.85882887,0.505234411,0.591255719,0.508936971,0.505174036,0.748978665,0.972310486,0.913300045,0.760780754,0.796187018,0.638598088,0.285714286,0.508936971,0.505174036,0,69.65,208,30.6,74.225,20,1.548,4.472,34.2,120.4,7.042,4.328,4.496
Camryn Edwards - 158615,2024,15.06,5.69,12.54,15.43,2,0.813436223,0.449387199,0.652292329,0.546527463,0.930549251,0.735788995,0.605725766,0.337854501,0.564734895,0.718565592,0.439400817,0.510213345,0.514298684,0.827507944,0.565771507,0.796644637,0.689557855,0.738476011,0.882433046,0.475714934,0.754879709,0.573309124,0.94870631,0.827947201,0.200305033,0.689557855,0.738476011,0,71.526,215.6,31.45,75.651,17.6,1.524,4.514,35.5,123.6,7.034,4.276,4.54
Damien Martinez - 162437,2024,14.83,12.97,18.55,27.86,3,0.914661825,0.837948252,0.863822061,0.661824784,0.927371766,0.427921783,0.711200402,0.293464858,0.647348952,0.852473899,0.779845665,0.825692238,0.607353609,0.922378575,0.479289941,0.852058973,0.516462841,0.810912512,0.944620971,0.826600091,0.813436223,0.730821607,0.884702678,0.445152481,0.371631927,0.516462841,0.810912512,1,71.625,217,30.5,75.25,18.2,1.56,4.51,35,124,7.07,4.272,4.59
Taron Keith - 130368,2024,14.75,9.19,14.1,20.39,4,0.319110304,0.998638221,0.714480254,0.602814344,0.630957785,0.938153706,0.965846308,0.982120838,0.951294698,0.4030867,0.999546074,0.937358148,0.935088516,0.863822061,0.939007738,0.970513472,0.988711195,0.952963311,0.21697685,0.959146618,0.127553336,0,0.11938266,0.922621757,0.928317234,0.988711195,0.952963311,0,69.725,199.4,30.275,73.026,17.6,1.588,4.578,35,121.8,7.03,4.31,4.47
Messiah Burch - 171198,2024,14.52,9.33,14.12,18.59,1,0.046754426,0.999546074,0.980027236,0.875170222,0.746255107,0.974079127,0.678051231,0.511097411,0.627003699,0.045392646,0.996822515,0.944620971,0.688152519,0.562868815,0.944014565,0.478393493,0.565380997,0.658513641,0.106218793,0.999546074,0.985020427,0.912846119,0.846572855,0.982248521,0.827147941,0.565380997,0.658513641,0,71.176,208.8,30.875,74.926,19,1.544,4.524,35.6,121.6,7.098,4.31,4.51
Anderson Castle - 122234,2024,14.2,9.2,13.85,17.73,4,0.215161144,0.884702678,0.930549251,0.643667726,0.918747163,0.475670759,0.682571572,0.511097411,0.627003699,0.247389923,0.937812074,0.979573309,0.778029959,0.91148434,0.756030951,0.673614642,0.565380997,0.658513641,0.02950522,0.698138901,0.722197004,0.34407626,0.901044031,0.023668639,0.655821047,0.565380997,0.658513641,0,69.2,205.8,30.275,73.825,19.2,1.56,4.58,35.4,120.4,7.022,4.226,4.506
Terion Stewart - 130386,2024,13.93,12.73,14.29,16.84,4,0.655015887,0.993191103,0.907852928,0.882886972,0.985020427,0.224647567,0.733802109,0.587546239,0.721948212,0.7907399,0.997276441,0.954607354,0.953245574,0.988651838,0.537551206,0.758007117,0.565380997,0.658513641,0.274171584,0.973672265,0.561507036,0.629596005,0.96277803,0.023668639,0.726995425,0.565380997,0.658513641,0,68.95,205.2,29.8,72.125,16,1.548,4.582,34.4,118.8,7.134,4.312,4.518
