ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Rashaad Penny - 27414,2017,43.03,46.18,3.15,44.8,48.43,54.32,3,0.892873355,0.693599637,0.938719927,0.917385384,0.928279619,0.970895862,0.925665495,0.858816276,0.90135635,0.980935089,0.74580118,0.908306854,0.834770767,0.960054471,0.98588985,0.92018302,0.792097836,0.893697084,0.570585565,0.576032683,0.927371766,0.900136178,0.430322288,0.778334092,0.856634469,0.792097836,0.893697084,0,71,220,31.25,76,13,1.56,4.46,32.5,120,7.216,4.33,4.494
Javonte Williams - 77803,2020,34.18,46.01,11.83,40.61,45.04,50.78,3,0.768497503,0.982750794,0.959146618,0.960962324,0.941443486,0.861300591,0.97036665,0.948212084,0.98458693,0.781661371,0.991375397,0.976395824,0.975487971,0.943259192,0.796540737,0.966446365,0.565380997,0.658513641,0.367680436,0.961870177,0.869269178,0.525646845,0.85111212,0.875739645,0.859684799,0.565380997,0.658513641,1,69.625,212,30.875,74.875,18.8,1.544,4.508,34.4,121.4,6.998,4.332,4.46
Breece Hall - 97636,2021,68.44,45.85,-22.59,40.89,45.02,49.73,3,0.984112574,0.879255561,0.644121652,0.864275987,0.70086246,0.664847658,0.987443496,0.916152898,0.980887793,0.975034044,0.85111212,0.524738992,0.811166591,0.689060372,0.586253983,0.991357397,0.95014111,0.988711195,0.96277803,0.845665002,0.729459828,0.787108488,0.630049932,0.654073737,0.960345704,0.95014111,0.988711195,1,71.25,217,31.25,75.875,21.4,1.54,4.39,40,126,7.01,4.182,4.57
DAndre Swift - 57212,2019,33.51,45.67,12.16,40.97,47.45,54,3,0.85746709,0.73944621,0.944167045,0.56740808,0.930095325,0.904047294,0.962330487,0.949445129,0.944512947,0.855651384,0.669541534,0.901951884,0.599636859,0.909214707,0.898497952,0.948144382,0.948259643,0.928504233,0.729913754,0.738538357,0.947798457,0.61870177,0.901044031,0.842057351,0.952719878,0.948259643,0.928504233,1,68.25,212,29.875,72,20,1.56,4.48,35.5,121,7.046,4.342,4.4
Kyren Williams - 97118,2021,49.7,45.5,-4.2,42,44.61,45.77,2,0.96277803,0.813436223,0.513844757,0.84339537,0.823422606,0.874033652,0.986941236,0.97595561,0.983970407,0.891057649,0.847480708,0.40944167,0.684975034,0.73808443,0.777878926,0.980172852,0.959548448,0.972718721,0.980481162,0.736268724,0.644575579,0.877893781,0.833408988,0.905325444,0.972038638,0.959548448,0.972718721,1,69.25,194,28.625,69.875,16.2,1.62,4.65,32,116,7.054,4.286,4.48
Karlos Williams - 9588,2014,49.22,45.49,-3.73,38.43,43.14,47.08,1,0.868361325,0.308216069,0.762596459,0.935996369,0.306400363,0.786721237,0.984429935,0.959926017,0.977805179,0.733091239,0.234679982,0.575578756,0.812074444,0.2246936,0.620846609,0.941026945,0.901222954,0.914393227,0.928279619,0.482069905,0.856559237,0.954153427,0.518384022,0.864815658,0.993390951,0.901222954,0.914393227,1,72.75,230,33,80.375,16,1.6,4.48,33.5,117,7.16,4.46,4.57
Royce Freeman - 45747,2017,9.95,45.25,35.3,41.81,46.3,51.22,4,0.982296868,0.747616886,0.879255561,0.822060826,0.796640944,0.649840837,0.954294324,0.73674476,0.927250308,0.97821153,0.767135724,0.853835679,0.713118475,0.850658193,0.692307692,0.984239959,0.883349012,0.976481656,0.950522015,0.565138448,0.815705856,0.825692238,0.405810259,0.638598088,0.438230808,0.883349012,0.976481656,1,71.5,229,32,76.75,17,1.59,4.54,34,118,6.9,4.16,4.558
Malcolm Perry - 46513,2019,1.17,45.22,44.05,42.42,45.75,48.61,1,0.987290059,0.801180209,0.992737177,0.955969133,0.918747163,0.008640291,0.957307885,0.61837238,0.939580764,0.93962778,0.652746255,0.975941897,0.871084884,0.791647753,0.007737824,0.873919675,0.340545626,0.832549389,0.991375397,0.876532002,0.99364503,0.967771221,0.94734453,0.023668639,0.982206406,0.340545626,0.832549389,0,69.5,186,29.625,71.5,10,1.57,4.63,36,122,7.12,4.31,4.48
Jay Ajayi - 9582,2014,57.34,43.83,-13.51,34.9,42.87,47.28,1,0.999546074,0.351339083,0.536087154,0.93962778,0.759418974,0.876307412,0.946258162,0.659062885,0.911220715,0.997730368,0.269178393,0.374035406,0.822514753,0.572401271,0.756030951,0.856634469,0.403574788,0.784571966,0.999546074,0.533363595,0.707671357,0.958238765,0.852927826,0.915794265,0.978647687,0.403574788,0.784571966,0,71.75,221,32,77.125,19,1.59,4.57,39,121,7.1,4.1,4.556
Javorius Allen - 9558,2014,18.83,42.64,23.81,36.76,41.82,44.73,1,0.992737177,0.383567862,0.762596459,0.476168861,0.273717658,0.913142337,0.979407333,0.938347719,0.971639951,0.971402633,0.29142079,0.575578756,0.331820245,0.204266909,0.818843878,0.922724962,0.859830668,0.894637817,0.995460735,0.565138448,0.856559237,0.688606446,0.477984567,0.940373236,0.99034062,0.859830668,0.894637817,1,72.5,221,31.75,75.125,11,1.58,4.53,35.5,121,6.96,4.28,4.558
