ID,Last_Season,predicted_value,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Marquis Johnson - 175906,2024,51.42,29.08,48.82,63.67,1,23.26,59.24,1,1,0.382994055,0.461550811,0.373976561,0.344622591,0.952801297,0.999279409,0.92253648,0.973518285,0.494325347,0.474474233,0.988762241,0.999759191,0.997591909,0.99173222,0.700433456,0.162867234,0.878712474,0.921175148,0.507866431,0.807432975,0.265853267,1,0,1,0,73.3,209.2,32.1,76.575,17.8,1.484,4.436,35.6,123,7.122,4.37,4.546,0.530148791,80.074
Eric McAlister - 145976,2024,48.77,40.34,50.1,64.6,3,19.05,93.59,2,0.67,0.312196001,0.476320437,0.223390592,0.695910647,0.936588002,0.983606557,0.925238696,0.931183571,0.791388939,0.779820196,0.984748756,0.988681971,0.996548403,0.990528175,0.930004816,0.270910258,0.695858083,0.950553861,0.798041419,0.496066784,0.391234548,1,1,0,0,74.05,206.6,31.875,76.55,16.2,1.548,4.538,34.6,120.8,7.052,4.354,4.496,0.899026658,67.55
Donte Thornton - 146547,2024,47.16,38.52,50.67,62.21,3,52.24,74.71,0,0,0.567465322,0.673543105,0.128832878,0.441181769,0.582057287,0.956224104,0.862367141,0.826337597,0.945235093,0.570075454,0.846765131,0.987397656,0.965644566,0.888425108,0.96997913,0.304382726,0.230052978,0.829426874,0.46171135,0.648258147,0.832396853,1,0,1,0,76.625,205,32.125,79,15.8,1.51,4.3,33,126,6.952,4.134,4.54,0.433641248,89.27
Jalen Royals - 163442,2024,46.93,28.55,42.4,55.88,2,28.14,96.19,0,0,0.260313457,0.500240809,0,0.826697892,0.794631598,0.722032066,0.952260854,0.916591605,0.508737164,0.987879274,0.928640231,0.958741371,0.950553861,0.994943009,0.886899984,0.026810082,0.416118157,0.001605394,0,0.30333922,0.0026489,0,0,1,0,72,205,30.125,73.75,13,1.49,4.42,37.8,125.2,7.08,4.258,4.43,0.912252532,83.54
Eugene Wilson - 175886,2024,46.07,27.16,42.71,52.21,2,47.27,98.8,2,1,0.598630877,0.627789372,0.616150265,0.721491623,0.895514322,0.888488561,0.887407674,0.031525851,0.957665286,0.760555466,0.875903034,0.933857762,0.869641997,0.088216407,0.976240167,0.372531707,0.851982662,0.766013806,0.600899021,0.021271472,0.886899984,1,0,0,1,72.5,191.6,31.35,76.25,16.8,1.48,4.428,36.4,124.2,7.032,4.248,4.42,0.817398223,78.87
CJ Daniels - 123874,2024,45.98,30.37,46.31,64.99,3,41.45,93.13,1,0.33,0.419924338,0.574169209,0.212473912,0.75968294,0.580075662,0.782921996,0.850117096,0.899657719,0.495406233,0.895007224,0.951035479,0.990528175,0.973350458,0.990608444,0.903194734,0.168004495,0.105795473,0.215363622,0,0.407770108,0.072001926,1,0,1,0,72.15,194.8,31.7,76,15.6,1.49,4.434,37.4,126.6,6.958,4.306,4.448,0.696298822,81.016
Eric Rivers - 144279,2024,45.73,40.02,49.69,60.53,2,54.96,77.92,0,0,0.40947577,0.498073527,0.379996789,0.878580436,0.838587642,0.930102684,0.934786525,0.651774455,0.696090794,0.844838658,0.940600417,0.98354471,0.972868839,0.820195858,0.804222187,0.729731899,0.415636539,0.467571039,0.518462032,0.379434901,0.479932573,0,0,1,0,71.9,183,30.7,74.825,16.8,1.516,4.364,36.3,126.4,6.956,4.138,4.454,0.886834057,81.092
Zakhari Franklin - 97620,2024,45.61,39.94,52.18,72.15,5,34.08,73.21,2,0.4,0.399387498,0.626986675,0.112297319,0.905602594,0.888308413,0.806881643,0.922176184,0.523689425,0.374346965,0.996227324,0.944694172,0.917482742,0.950152512,0.684620324,0.659656446,0.270910258,0.12578263,0.100337133,0.661502649,0.259190881,0.03539894,1,0,1,0,72.35,204.4,31.875,76.425,15.4,1.526,4.51,37,129.8,7.07,4.41,4.48,0.919692085,76.958
Jaden Greathouse - 171085,2024,45.16,30.87,43.86,58.8,2,39.85,97.95,1,0.5,0.7232931,0.875020067,0.610451116,0.73752477,0.455413439,0.776616826,0.890830481,0.363177806,0.782021257,0.775726441,0.49181249,0.804302456,0.952801413,0.456895168,0.773799968,0.537004335,0.368999839,0.630036924,0.718815219,0.285920694,0.712955531,1,0,1,0,72.15,194.8,31.7,76,14.2,1.49,4.434,37.4,126.6,6.958,4.228,4.448,0.735149824,81.016
Coleman Owen - 104969,2024,45.13,21.1,38.02,51.34,3,44.86,91.77,1,0.33,0.836606017,0.906325253,0.750762562,0.879301027,0.827238335,0.897856242,0.854981084,0.618266979,0.784002882,0.925429443,0.932252368,0.969336972,0.853748595,0.794429282,0.832396853,0.477363943,0.560282549,0.600016054,0.735190239,0.437951517,0.529780061,0,0,1,0,71.325,192,30.5,73.7,15,1.494,4.406,36,124.6,7.032,4.362,4.434,0.87732796,76.408
Tetairoa McMillan - 158735,2024,44.7,38.59,48.03,66.35,3,17.56,84.75,2,0.67,0.470005404,0.515251244,0.49462193,0.994775716,0.815708881,0.921996037,0.853179607,0.798054405,0.652675194,0.989886017,0.917643281,0.948707658,0.843152994,0.874698989,0.712955531,0.977042864,0.38802376,0.547038048,0.785037727,0.648258147,0.564617114,1,1,0,0,76.125,219,31.5,77.875,19.2,1.54,4.502,36.3,125.8,7.216,4.326,4.46,1.000907212,81.21
Corey Rucker - 121539,2024,43.49,32.81,44.12,55.65,4,19.05,66.41,3,0.75,0.528553414,0.773960507,0.274923744,0.931183571,0.883444424,0.975319762,0.832822915,0.859845073,0.902179787,0.987076577,0.997110291,0.998876224,0.997030021,0.932332638,0.981216889,0.315299406,0.626665596,0.667763686,0.46716969,0.578343233,0.712955531,0,1,0,0,74.4,215,32.6,78.25,16.8,1.532,4.518,35.7,123.2,6.976,4.22,4.508,0.782060343,80.276
Jeremiah Hunter - 131650,2024,42.92,37.89,52.35,71.68,4,34.64,93.08,1,0.25,0.344262295,0.535318671,0.247471504,0.902359935,0.690326067,0.880381913,0.652495046,0.758602054,0.435957485,0.938834484,0.802456253,0.954326537,0.799325734,0.946139027,0.548242093,0.465885375,0.22130358,0.542382405,0.38256542,0.368999839,0.377588698,1,0,1,0,72.5,197.8,31.925,76.675,13.4,1.516,4.42,38.3,129,6.982,4.31,4.482,0.882287663,82.512
Giles Jackson - 101695,2024,42.9,38.16,43.67,51.11,3,58.55,94.14,2,0.67,0.722932805,0.97254776,0.566302777,0.533237255,0.778958746,0.934966673,0.64582958,0.337957125,0.457214916,0.960748114,0.99991973,0.999518382,0.992454648,0.675389308,0.814576979,0,0.403034195,0.266254616,0,0.140793065,0.139187671,1,1,0,0,70.075,189.2,30.75,73.275,14.6,1.55,4.498,36.4,124.2,7.006,4.256,4.442,0.575199421,70.828
Kam Shanks - 173347,2024,42.81,23.54,42.18,59.83,1,69.02,72.24,1,1,0.737344623,0.704366672,0.704366672,0.896234913,0.962529274,0.870293641,0.881282652,0.110790848,0.908484958,0.81136619,0.942366351,0.823246107,0.837453845,0.123454808,0.874698989,0.81136619,0.942366351,0.823246107,0.837453845,0.123454808,0.874698989,0,0,0,1,70.5,188.2,30.25,73.2,16.4,1.502,4.434,34.5,119.4,6.948,4.276,4.42,0.713451126,71.732
Roderick Daniels - 144356,2024,42.71,25.97,39.02,50.18,4,66.92,73.17,2,0.5,0.782741848,0.895087494,0.679322524,0.691587101,0.467123041,0.732480634,0.797333814,0.223383174,0.95964691,0.836410339,0.648097608,0.807432975,0.876625462,0.505618879,0.963718093,0.482581474,0.200272917,0.360972869,0.50280944,0.033954086,0.860972869,0,0,0,1,70.575,188.4,30.4,73.35,15.8,1.492,4.424,35.6,119.2,6.948,4.24,4.404,0.418968795,76.116
Ashtyn Hawkins - 147222,2024,42.46,33.02,45.05,62.81,4,42.57,90.59,2,0.5,0.646370023,0.833921978,0.073366511,0.871734823,0.779499189,0.850837687,0.751035849,0.236533958,0.756079986,0.978648258,0.932493177,0.882244341,0.936346123,0.675389308,0.854310483,0.509953444,0.47543747,0.74594638,0.477925831,0.096965805,0.548242093,1,0,1,0,71.725,190.8,30.775,74.45,15.6,1.506,4.446,36.7,124.2,6.958,4.306,4.388,0.841370118,78.55
Will Sheppard - 124360,2024,40.83,37.63,44.85,58.17,4,5.36,57.31,4,1,0.307151865,0.47254776,0.149301654,0.976400649,0.736263736,0.699873897,0.822734642,0.610700775,0.558998379,0.992133569,0.966848611,0.818189115,0.90704768,0.70219939,0.613260555,0.885615669,0.197945096,0.413710066,0.60932734,0.467410499,0.497832718,1,1,0,0,75.225,213.2,33.6,79.7,17.4,1.534,4.44,38.4,130,6.89,4.304,4.532,0.646495144,77.07
David Amador - 174085,2024,40.39,35.1,42.95,55.86,1,76.32,99.67,1,1,0.755539542,0.72411302,0.709905282,0.388218339,0.905062151,0.905602594,0.588542605,0.056386237,0.922716628,0.406164713,0.982099856,0.982340665,0.607481137,0.063011719,0.957858404,0.367474715,0.368999839,0.329426874,0.563493338,0.060924707,0.712955531,0,0,0,1,71.65,191,31.075,74.6,12,1.504,4.438,36.7,123.6,6.858,4.186,4.356,0.406569539,82.94
Junior Vandeross - 163156,2024,40.14,32.01,44.22,57.36,2,57.98,92.22,0,0,0.80868312,0.770910258,0.752046878,0.935326968,0.888668708,0.897315799,0.715006305,0.403891191,0.742028463,0.957376786,0.90166961,0.855675068,0.702921817,0.505618879,0.804222187,0.79507144,0.799566544,0.853588056,0.652432172,0.227323808,0.644405201,0,0,1,0,70.5,179.6,30.4,73.325,14.6,1.52,4.454,37,125.8,7.036,4.356,4.452,0.871128332,75.598
Jarod Bowie - 170410,2024,39.84,33.43,43.09,55.42,1,66.19,65.9,0,0,0.984687444,0.979370686,0.979370686,0.231309674,0.984147001,0.98811025,0,0.215096379,0.970816069,0.243458019,0.972868839,0.977363943,0,0.227323808,0.955610852,0.243458019,0.972868839,0.977363943,0,0.227323808,0.955610852,0,0,0,1,70.9,201.4,30.9,74.8,16.6,1.52,4.442,36.4,122.8,6.964,4.224,4.424,0.658481091,74.006
Jacory Barney - 183547,2024,39.72,21.72,37.05,52.76,1,41.31,97.75,1,1,0.769771212,0.72941082,0.72941082,0.829400108,0.946676275,0.684201045,0,0.115654837,0.735002702,0.741932895,0.920292182,0.643923583,0,0.130036924,0.700433456,0.741932895,0.920292182,0.643923583,0,0.130036924,0.700433456,1,0,0,1,72.15,194.8,31.7,76,15.6,1.49,4.434,37.4,126.6,6.958,4.28,4.448,0.797559413,81.016
Ricky White - 129639,2024,39.5,30.34,41.72,59.01,4,39.42,77.89,1,0.25,0.51143938,0.588938834,0.488842511,0.903440821,0.950819672,0.950459377,0.872635561,0.597730139,0.708520987,0.946540376,0.984588216,0.98916359,0.954085728,0.865066624,0.785358806,0.375421416,0.547278857,0.567266014,0.585166158,0.227323808,0.497832718,0,0,1,0,73.125,184,31.75,76,14.8,1.55,4.61,36,123,7.068,4.214,4.48,0.933537921,61.03
Jamaal Pritchett - 155624,2024,39.02,36.42,44.75,60.24,2,54.95,96.3,1,0.5,0.691406954,0.733183497,0.540696741,0.83876779,0.879120879,0.81030445,0.904521708,0.25454873,0.905602594,0.951196019,0.985230374,0.976159897,0.92358324,0.476079628,0.90704768,0.236233745,0.023679563,0.06550008,0,0.140793065,0.832396853,0,0,1,0,72.05,195.8,30.975,74.125,16.6,1.53,4.482,35.2,122.2,6.948,4.292,4.422,0.92671833,74.532
Jacob De Jesus - 174068,2024,38.76,33.72,42.14,54.58,2,74.16,96.1,1,0.5,0.738425509,0.711109327,0.699951838,0.807422086,0.885786345,0.880381913,0.591244821,0.191136732,0.929201946,0.772114304,0.917081393,0.849173222,0.690640552,0.418927597,0.9234227,0.67482742,0.703965323,0.820516937,0.497752448,0.07914593,0.860972869,0,0,0,1,71.25,180.8,30.5,74.225,12,1.498,4.432,37.8,128,6.858,4.186,4.356,0.875674726,75.904
Ali Jennings - 145344,2024,38.6,35.21,47.08,63.18,3,31.14,81.48,1,0.33,0.351648352,0.488842511,0.16383047,0.900558458,0.792289678,0.93442623,0.859484778,0.82687804,0.771932985,0.92623214,0.8934821,0.955610852,0.931289131,0.874698989,0.952881682,0.641274683,0.205089099,0.683737358,0.686948146,0.684620324,0.359768823,1,0,1,0,73.875,196,32.55,78.225,15,1.51,4.426,37.3,125,7.244,4.388,4.504,0.749408969,73.28
