ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Ronnie Bell - 84288,2022,22.38,32.68,10.3,25.32,34.78,43.46,3,48.83,67.16,0,0,0.65141416,0.75959223,0.59006261,0.751576293,0.858584039,0.906863628,0.542604936,0.414339759,0.93514682,0.874137101,0.910338738,0.913388987,0.946219297,0.547680205,0.965323487,0.266736234,0.193048643,0.829426874,0.384893241,0.173783914,0.564617114,1,0,1,0,71.625,191,31,75,14,1.52,4.54,38.5,120,6.98,4.15,4.47,0.682039678,63.77
Dazz Newsome - 61510,2020,2.26,32.44,30.18,25.85,34.03,48.16,4,65.49,83.36,1,0.25,0.932985048,0.979129876,0.790415797,0.851017835,0.81895154,0.88380472,0.812466222,0.26481715,0.863628175,0.906566062,0.925349173,0.936667202,0.924305667,0.437951517,0.899662867,0.382164071,0.498555145,0.722908974,0,0.185503291,0.671857441,1,0,1,0,70.125,190,29.875,72.75,17.4,1.542,4.548,32.8,119.8,7.176,4.306,4.47,0.871748295,53.93
Jerrod Means - 98847,2023,28.42,32.41,3.99,26.07,34.08,45.96,3,21.36,65.38,3,1,0.241397946,0.279418847,0.279418847,0.932624752,0.846333994,0.870293641,0.845793551,0.939650513,0.621149342,0.858323969,0.803660299,0.823246107,0.806469738,0.925349173,0.599293627,0.858323969,0.803660299,0.823246107,0.806469738,0.925349173,0.599293627,1,1,0,0,73,212,33.25,79.375,19,1.55,4.43,39.5,122,7.076,4.374,4.54,0.632649308,77.19
Collin Johnson - 47808,2019,25.92,32.21,6.29,21.27,34.52,58.59,4,35.85,63.76,3,0.75,0.267339218,0.345962434,0.242575052,0.950819672,0.711223203,0.749054224,0.621689786,0.764006485,0.337056386,0.986755498,0.692165677,0.797559801,0.728126505,0.874698989,0.514368277,0.689597046,0.65299406,0.473992615,0.421014609,0.638625783,0.165275325,1,1,0,0,77.625,222,31.75,78.5,17,1.536,4.542,34.4,124,7.1,4.424,4.58,0.917212234,70.47
Jalin Marshall - 11259,2015,40.42,32.2,-8.22,23.92,32.46,40.04,2,100,31.61,1,0.5,0.668167898,0.791379034,0.509150747,0.868312016,0.610340479,0.700594487,0.873176004,0.360655738,0.912988651,0.783030984,0.575453524,0.683737358,0.862899342,0.578343233,0.942205812,0.770027292,0.570396532,0.630036924,0.793787125,0.185503291,0.740809119,1,0,1,0,70.5,200,31.5,75.75,16,1.56,4.6,37.5,125,6.8,4.13,4.444,0.441080802,67.56
Cedric Tillman - 84434,2022,32.39,32.18,-0.21,27.88,37.14,53.36,2,22.98,73.7,2,1,0.322104125,0.508428319,0.256140633,0.656998739,0.711583498,0.739866691,0.91857323,0.915690867,0.309673933,0.96716969,0.919730294,0.896532349,0.954085728,0.965403757,0.564617114,0.094397175,0.250200674,0.177877669,0.634933376,0.773559159,0.119762402,1,1,0,0,75.375,213,32.75,79.25,17.8,1.53,4.54,37,128,7.158,4.382,4.5,0.58966522,75.03
Quez Watkins - 61664,2019,32.95,32.07,-0.88,24.12,40.59,61.56,3,30.26,84.99,1,0.33,0.293100342,0.556911222,0.067747632,0.918393082,0.896775356,0.914970276,0.83876779,0.63952441,0.889389299,0.92623214,0.902632846,0.960908653,0.888264569,0.764809761,0.930004816,0.612377589,0.681650345,0.657489164,0.597046075,0.285920694,0.685984909,0,0,1,0,72.125,185,32.875,78.875,13.6,1.51,4.35,36.5,125,7.28,4.36,4.58,0.902333127,79.85
Anthony Gould - 97078,2023,7.99,31.76,23.77,7.59,23.69,36.94,2,51.07,60.43,0,0,0.574851378,0.827580671,0.223390592,0.548910106,0.742568907,0.689425329,0.655377409,0.839308233,0.205908845,0.803740568,0.807673784,0.907609568,0.776689677,0.91523519,0.631883127,0.026810082,0.17498796,0.001605394,0,0.648258147,0.0026489,1,0,1,0,68.375,174,29.625,69.875,11.6,1.49,4.39,39.5,129,6.908,4.16,4.33,0.599791279,81.97
AmonRa St Brown - 84470,2020,96.16,31.43,-64.73,21.53,29.58,38.08,3,38.04,74.05,1,0.33,0.70275626,0.800208701,0.590383689,0.953521888,0.780940371,0.873176004,0.778598451,0.425508917,0.457755359,0.995344357,0.951196019,0.92631241,0.927516455,0.557071761,0.631883127,0.727564617,0.526890352,0.718815219,0.614223792,0.27861615,0.359768823,1,0,1,0,71.5,197,30.375,74.625,13.8,1.548,4.554,34.1,122,6.988,4.272,4.54,0.897786733,64.67
Deontay Burnett - 47477,2017,7.19,31.39,24.2,22.07,31.54,41.09,2,79.37,75.35,0,0,0.820933165,0.784556109,0.768983786,0.846333994,0.906863628,0.933345343,0.87749955,0.251306071,0.805980904,0.978648258,0.912104672,0.960186226,0.88513405,0.407770108,0.916680045,0.214079306,0.604350618,0.787606357,0,0.162144807,0.599293627,1,0,1,0,71.625,186,31.5,74.5,11.8,1.552,4.55,34.6,118.4,6.93,4.214,4.436,0.949036991,54.26
